Time,dH_dt_Numerical,Kinematic_Sink,Fisher_Information,RHS_Theoretical
0.010000,-0.099606,-0.500000,0.400798,-0.099202
0.020000,-0.098810,-0.500000,0.401590,-0.098410
0.030000,-0.098020,-0.500000,0.402379,-0.097621
0.040000,-0.097234,-0.500000,0.403162,-0.096838
0.050000,-0.096453,-0.500000,0.403940,-0.096060
0.060000,-0.095677,-0.500000,0.404714,-0.095286
0.070000,-0.094906,-0.500000,0.405483,-0.094517
0.080000,-0.094139,-0.500000,0.406247,-0.093753
0.090000,-0.093378,-0.500000,0.407006,-0.092994
0.100000,-0.092620,-0.500000,0.407761,-0.092239
0.110000,-0.091868,-0.500000,0.408511,-0.091489
0.120000,-0.091121,-0.500000,0.409256,-0.090744
0.130000,-0.090378,-0.500000,0.409997,-0.090003
0.140000,-0.089640,-0.500000,0.410732,-0.089268
0.150000,-0.088906,-0.500000,0.411463,-0.088537
0.160000,-0.088178,-0.500000,0.412190,-0.087810
0.170000,-0.087454,-0.500000,0.412911,-0.087089
0.180000,-0.086734,-0.500000,0.413628,-0.086372
0.190000,-0.086020,-0.500000,0.414340,-0.085660
0.200000,-0.085310,-0.500000,0.415048,-0.084952
0.210000,-0.084605,-0.500000,0.415751,-0.084249
0.220000,-0.083904,-0.500000,0.416449,-0.083551
0.230000,-0.083208,-0.500000,0.417143,-0.082857
0.240000,-0.082517,-0.500000,0.417832,-0.082168
0.250000,-0.081830,-0.500000,0.418516,-0.081484
0.260000,-0.081148,-0.500000,0.419196,-0.080804
0.270000,-0.080470,-0.500000,0.419871,-0.080129
0.280000,-0.079797,-0.500000,0.420542,-0.079458
0.290000,-0.079129,-0.500000,0.421208,-0.078792
0.300000,-0.078465,-0.500000,0.421869,-0.078131
0.310000,-0.077806,-0.500000,0.422526,-0.077474
0.320000,-0.077151,-0.500000,0.423179,-0.076821
0.330000,-0.076501,-0.500000,0.423827,-0.076173
0.340000,-0.075855,-0.500000,0.424470,-0.075530
0.350000,-0.075214,-0.500000,0.425109,-0.074891
0.360000,-0.074577,-0.500000,0.425744,-0.074256
0.370000,-0.073945,-0.500000,0.426374,-0.073626
0.380000,-0.073317,-0.500000,0.426999,-0.073001
0.390000,-0.072693,-0.500000,0.427621,-0.072379
0.400000,-0.072074,-0.500000,0.428237,-0.071763
0.410000,-0.071460,-0.500000,0.428850,-0.071150
0.420000,-0.070849,-0.500000,0.429458,-0.070542
0.430000,-0.070243,-0.500000,0.430062,-0.069938
0.440000,-0.069642,-0.500000,0.430661,-0.069339
0.450000,-0.069044,-0.500000,0.431256,-0.068744
0.460000,-0.068451,-0.500000,0.431847,-0.068153
0.470000,-0.067863,-0.500000,0.432434,-0.067566
0.480000,-0.067278,-0.500000,0.433016,-0.066984
0.490000,-0.066698,-0.500000,0.433594,-0.066406
0.500000,-0.066122,-0.500000,0.434168,-0.065832
0.510000,-0.065550,-0.500000,0.434737,-0.065263
0.520000,-0.064983,-0.500000,0.435303,-0.064697
0.530000,-0.064420,-0.500000,0.435864,-0.064136
0.540000,-0.063861,-0.500000,0.436421,-0.063579
0.550000,-0.063306,-0.500000,0.436974,-0.063026
0.560000,-0.062755,-0.500000,0.437523,-0.062477
0.570000,-0.062208,-0.500000,0.438067,-0.061933
0.580000,-0.061665,-0.500000,0.438608,-0.061392
0.590000,-0.061127,-0.500000,0.439144,-0.060856
0.600000,-0.060592,-0.500000,0.439677,-0.060323
0.610000,-0.060062,-0.500000,0.440205,-0.059795
0.620000,-0.059535,-0.500000,0.440730,-0.059270
0.630000,-0.059013,-0.500000,0.441250,-0.058750
0.640000,-0.058494,-0.500000,0.441767,-0.058233
0.650000,-0.057979,-0.500000,0.442279,-0.057721
0.660000,-0.057469,-0.500000,0.442788,-0.057212
0.670000,-0.056962,-0.500000,0.443293,-0.056707
0.680000,-0.056459,-0.500000,0.443794,-0.056206
0.690000,-0.055960,-0.500000,0.444291,-0.055709
0.700000,-0.055465,-0.500000,0.444784,-0.055216
0.710000,-0.054974,-0.500000,0.445273,-0.054727
0.720000,-0.054487,-0.500000,0.445758,-0.054242
